GIFI_Code,Description,Amount,Note
1001,Cash,12472,
1121,Inventory of goods for sale,10015,Physical count 2025-05-16
1301,Due from individual shareholder(s),2041,Shareholder loan receivable (Thomas). Review s.15(2) repayment/exception within 1 year after 2025-05-31.
1484,Prepaid expenses,1490,
1740,"Machinery, equipment, furniture and fixtures",3518,
1741,Accum amort - machinery/equip/furn/fixtures,-1582,
2599,Total assets,27954,
2620,Amounts payable and accrued liabilities,7405,
2680,"Taxes payable (GST/HST, etc.)",2653,
2781,Due to individual shareholder(s),5011,"Tie-out: 2400 $3,490.67 (Thomas) + 2410 $1,606.68 (Dwayne); source: readiness_report.md. If UFile doesn't accept 2781, enter this amount on 2780 instead."
3499,Total liabilities,15069,
3500,Common shares,100,
3600,Retained earnings/deficit,12785,
3620,Total shareholder equity,12885,
3640,Total liabilities and shareholder equity,27954,
