code,description,amount,page,section
0002,Description of the operation,0003,14,schedule_125
8519,Gross profit / loss . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"72,862",14,schedule_125
9369,Net non-farming income . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"18,456",14,schedule_125
9970,Net income/loss before taxes and extraordinary items . . . . . . . . . . . . . . . . . . . . . . . . . . . . =,"18,456",14,schedule_125
9999,Net income / loss after taxes and extraordinary items . . . . . . . . . . . . . . . . . . . . . . . . . . . . . =,"18,456",14,schedule_125
8000,. . . . Trade . . . . . sales . . . . . of . . goods . . . . . and . . . . services . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"181,235",14,schedule_125
8089,. . . . Total . . . . sales . . . . . of . . goods . . . . . and . . . . services . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"181,235",14,schedule_125
8299,. . . . Total . . . . revenue . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"181,235",14,schedule_125
8320,. . . . Purchases . . . . . . . . . / . cost . . . . of . . materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"111,220",14,schedule_125
8500,. . . . Closing . . . . . . inventory . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"-2,847",14,schedule_125
8518,. . . . Cost . . . . of . . sales . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"108,373",14,schedule_125
8520,. . . . Advertising . . . . . . . . . and . . . . promotion . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"1,606",14,schedule_125
8523,. . . . Meals . . . . . and . . . . entertainment . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,518,14,schedule_125
8622,. . . . Employers . . . . . . . . . portion . . . . . . of . . employee . . . . . . . . benefits . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"1,463",14,schedule_125
8670,. . . . Amortization . . . . . . . . . . of . . tangible . . . . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,508,14,schedule_125
