cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,cc_purchases_in_period_count,cc_purchases_in_period_amount,wave_matched_purchases_in_period_count,wave_matched_purchases_in_period_amount,top_merchants_5
0318,350,2025-05-13,408.58,2025-05-05,3,509.74,4,1634.32,BELL ALIANT OBM:408.58; REGISTRY OF JOINT:68.55; OPENAI *CHATGPT SUBSCR:32.61
0318,357,2025-05-05,51.07,2025-05-05,0,0.00,0,0.00,
0318,355,2025-05-05,50.70,2025-05-05,0,0.00,0,0.00,
0318,354,2025-05-05,49.03,2025-04-24,2,46.55,1,27.83,WAL-MART SUPERCENTER#5789 AMHERST:27.83; GOOGLE*GSUITE CURLYS.C CC:18.72
0318,372,2025-04-24,45.99,2025-04-24,0,0.00,0,0.00,
0318,371,2025-04-24,121.94,2025-04-24,0,0.00,0,0.00,
0318,397,2025-04-11,132.68,2025-04-11,0,0.00,0,0.00,
0318,396,2025-04-11,132.68,2025-04-11,0,0.00,0,0.00,
0318,395,2025-04-11,131.53,2025-04-11,0,0.00,0,0.00,
0318,394,2025-04-11,132.68,2025-04-11,0,0.00,0,0.00,
0318,393,2025-04-11,132.68,2025-04-08,3,2868.60,1,68.55,SP STOCKUP MARKET:2766.69; REGISTRY OF JOINT:68.55; OPENAI *CHATGPT SUBSCR:33.36
8154,448,2025-03-20,2531.83,2025-03-17,5,606.97,0,0.00,ROGERS ******8651 888-764-3771:483.75; NEEDS 182 AMHERST:56.41; AMHERST SUPERSTORE #31:50.91; THE OLD WAREHOUSE:15.90
0318,447,2025-03-20,116.58,2025-03-20,0,0.00,0,0.00,
0318,470,2025-03-17,21.81,2025-03-17,0,0.00,0,0.00,
8154,468,2025-03-17,1869.91,2025-02-27,27,4481.65,1,47.66,PEAK PERFORMANCE MISSISSAUGA:2401.28; WAL-MART #5789 AMHERST:679.35; HART - AMHERST:491.79; AMHERST VETERINARY HOS:456.60; DOLLARAMA # 209:317.43
0318,462,2025-03-17,195.45,2025-03-17,0,0.00,0,0.00,
0318,461,2025-03-17,19.54,2025-03-17,0,0.00,0,0.00,
0318,460,2025-03-17,37.92,2025-03-17,0,0.00,0,0.00,
0318,459,2025-03-17,58.62,2025-03-05,12,1282.54,7,686.05,"NOVA SCOTIA PWR/EZ-PAY:400.96; AMHERST SUPERSTORE #31:305.31; AMHERST PHARMA SAVE:302.06; BELL ALIANT OBM:132.68; SHOPIFY/341577281 OTTAWA, ON:51.08"
0318,501,2025-03-05,412.83,2025-02-27,1,18.72,0,0.00,GOOGLE *GSUITE_CURLYS. 855-222-8603:18.72
0318,528,2025-02-27,282.00,2025-02-27,0,0.00,0,0.00,
8154,519,2025-02-27,1958.20,2025-02-12,6,2205.61,0,0.00,LS SWEET DREAMS:1345.48; ISWEET 4168234030:561.17; ROGERS ******8651 888-764-3771:193.91; THE ELM TREE:58.32; MCDONALD'S #5841 Q04:43.06
0318,516,2025-02-27,632.28,2025-02-12,8,2201.78,5,1421.66,MONCTONCASH&CARRY#301 MONCTON:1033.68; NAYAX*DISTRIBUTION QM INC:607.20; AMHERST SUPERSTORE #31:323.10; BELL ALIANT OBM:132.68; AMHERST PHARMA SAVE:64.88
8154,565,2025-02-12,11.69,2025-02-12,0,0.00,0,0.00,
8154,564,2025-02-12,119.04,2025-02-12,0,0.00,0,0.00,
8154,558,2025-02-12,2314.34,2025-02-12,0,0.00,0,0.00,
8154,557,2025-02-12,4391.25,2025-01-27,3,222.44,0,0.00,BET 365 GIBRALTAR:200.00; DISNEY PLUS 1:14.94; CASH ADV/BT/CONV CHQ:7.50
0318,578,2025-02-10,72.22,2025-02-10,0,0.00,0,0.00,
0318,577,2025-02-10,36.79,2025-02-10,0,0.00,0,0.00,
0318,576,2025-02-10,40.74,2025-01-27,8,3031.95,5,1133.99,PURITY LIFE HEALTH:1605.14; PC EXPRESS 0312:931.32; REGISTRY OF JOINT:274.10; GIANT TIGER #200:155.41; AMHERST PHARMA SAVE:26.25
0318,618,2025-01-27,16.40,2025-01-27,0,0.00,0,0.00,
0318,617,2025-01-27,90.90,2025-01-27,0,0.00,0,0.00,
0318,616,2025-01-27,228.83,2025-01-27,0,0.00,0,0.00,
0318,615,2025-01-27,146.15,2025-01-27,0,0.00,0,0.00,
0318,614,2025-01-27,185.03,2025-01-27,0,0.00,0,0.00,
0318,613,2025-01-27,28.00,2025-01-16,5,1757.61,0,0.00,SP SPROOS WHISTLER:721.48; NOVA SCOTIA PWR/EZ-PAY:536.22; BELL ALIANT REP:340.67; PAYPAL *DIGITALINSP 4029357733:149.86; KUBRA/EZ-PAY 905-624-2220:9.38
8154,608,2025-01-27,42.18,2025-01-27,0,0.00,0,0.00,
8154,606,2025-01-27,76.91,2025-01-27,0,0.00,0,0.00,
8154,605,2025-01-27,79.70,2025-01-16,4,731.67,1,121.89,COSTCO WHOLESALE W1345:537.55; ROGERS ******8651 888-764-3771:194.12
0318,654,2025-01-16,340.67,2025-01-16,0,0.00,0,0.00,
8154,653,2025-01-16,337.47,2025-01-16,0,0.00,0,0.00,
8154,652,2025-01-16,642.89,2025-01-16,0,0.00,0,0.00,
8154,650,2025-01-16,129.29,2025-01-16,0,0.00,0,0.00,
8154,649,2025-01-16,36.00,2025-01-16,0,0.00,0,0.00,
8154,648,2025-01-16,2415.47,2025-01-16,0,0.00,0,0.00,
8154,647,2025-01-16,90.08,2025-01-16,0,0.00,0,0.00,
0318,646,2025-01-16,407.10,2025-01-16,0,0.00,0,0.00,
8154,645,2025-01-16,14.40,2025-01-08,0,0.00,0,0.00,
0318,644,2025-01-16,29.21,2025-01-08,3,2225.64,0,0.00,PESCIENCE 8888850195:2058.99; BELL ALIANT OBM:132.68; OPENAI *CHATGPT SUBSCR:33.97
8154,681,2025-01-08,76.22,2025-01-08,0,0.00,0,0.00,
8154,680,2025-01-08,48.16,2025-01-08,0,0.00,0,0.00,
8154,678,2025-01-08,55.86,2025-01-08,0,0.00,0,0.00,
8154,677,2025-01-08,108.40,2024-12-31,0,0.00,0,0.00,
8154,699,2024-12-31,17.24,2024-12-31,0,0.00,0,0.00,
8154,698,2024-12-31,63.95,2024-12-20,7,766.28,0,0.00,WAL-MART #5789 AMHERST:395.69; YMCA OF CUMBERLANSD:200.00; LAWTONS #2562 AMHERST:109.64; PROXI WEST AMHERST:40.01; DISNEY PLUS 1:14.94
8154,713,2024-12-20,2152.03,2024-12-16,1,194.12,0,0.00,ROGERS ******8651 888-764-3771:194.12
8154,729,2024-12-16,30.51,2024-12-16,0,0.00,0,0.00,
8154,726,2024-12-16,83.35,2024-12-11,10,1008.08,0,0.00,CHARM DIAMOND CENTRES:171.35; SQ *T.M. BEAUTY:165.31; GIANT TIGER #200:158.79; DOLLARAMA # 209:144.15; LEMON NAILS AMHERST:115.00
8154,744,2024-12-11,118.97,2024-12-09,0,0.00,0,0.00,
8154,756,2024-12-09,283.48,2024-12-09,0,0.00,0,0.00,
8154,754,2024-12-09,37.77,2024-12-09,0,0.00,0,0.00,
8154,753,2024-12-09,279.81,2024-12-03,15,1310.25,2,135.79,COSTCO WHOLESALE W1345:479.93; WINNERS 259 MONCTON:193.69; MARSHALLS 730 MONCTON:126.45; WAL-MART #5789 AMHERST:88.90; RW & CO.:82.00
0318,786,2024-12-03,64.98,2024-12-03,0,0.00,0,0.00,
0318,779,2024-12-03,30.02,2024-11-18,1,18.72,0,0.00,GOOGLE *GSUITE_CURLYS. 855-222-8603:18.72
8154,778,2024-12-03,400.00,2024-12-03,0,0.00,0,0.00,
8154,774,2024-12-03,62.88,2024-12-03,0,0.00,0,0.00,
8154,773,2024-12-03,16.78,2024-12-03,0,0.00,0,0.00,
8154,771,2024-12-03,258.12,2024-11-18,12,1379.73,4,636.47,COSTCO WHOLESALE W1345:557.07; COSTCO WHOLESALE W551:446.34; WAL-MART #5789 AMHERST:218.46; WESTIN NOVA SCOTIAN:92.35; SUPERSTORE HALIFAX STH:25.81
8154,824,2024-11-18,1787.76,2024-11-18,0,0.00,0,0.00,
0318,823,2024-11-18,89.84,2024-11-12,1,132.68,0,0.00,BELL ALIANT OBM:132.68
8154,822,2024-11-18,251.76,2024-11-18,0,0.00,0,0.00,
8154,821,2024-11-18,1090.96,2024-11-12,2,233.06,0,0.00,ROGERS ******8651 888-764-3771:194.12; DOLLARAMA # 209:38.94
8154,846,2024-11-12,279.08,2024-11-12,0,0.00,0,0.00,
8154,844,2024-11-12,106.26,2024-11-12,0,0.00,0,0.00,
8154,842,2024-11-12,62.03,2024-11-12,0,0.00,0,0.00,
8154,839,2024-11-12,550.87,2024-11-04,0,0.00,0,0.00,
0318,858,2024-11-06,32.74,2024-11-04,0,0.00,0,0.00,
8154,874,2024-11-04,1672.89,2024-11-04,0,0.00,0,0.00,
8154,872,2024-11-04,32.23,2024-10-28,1,13.79,0,0.00,DISNEY PLUS BURBANK:13.79
0318,866,2024-11-04,105.90,2024-11-04,0,0.00,0,0.00,
0318,865,2024-11-04,274.78,2024-10-28,4,810.93,1,627.63,PC EXPRESS 0312:627.63; NOVA SCOTIA PWR/EZ-PAY:161.75; GOOGLE *GSUITE_CURLYS. 855-222-8603:18.72; KUBRA/EZ-PAY 905-624-2220:2.83
8154,892,2024-10-28,22.00,2024-10-28,0,0.00,0,0.00,
8154,891,2024-10-28,78.30,2024-10-28,0,0.00,0,0.00,
8154,887,2024-10-28,479.32,2024-10-24,2,236.83,0,0.00,COSTCO WHOLESALE W1345:236.83
8154,906,2024-10-24,1472.83,2024-10-22,0,0.00,0,0.00,
8154,918,2024-10-22,236.91,2024-10-21,0,0.00,0,0.00,
8154,924,2024-10-21,294.71,2024-10-21,0,0.00,0,0.00,
8154,921,2024-10-21,322.88,2024-10-21,0,0.00,0,0.00,
8154,920,2024-10-21,1869.09,2024-10-15,1,199.21,0,0.00,ROGERS ******8651 888-764-3771:199.21
8154,945,2024-10-15,130.41,2024-10-11,1,27.59,0,0.00,LAWTONS #2562 AMHERST:27.59
8154,951,2024-10-11,49.55,2024-10-07,1,192.50,0,0.00,SQ *T.M. BEAUTY:192.50
8154,971,2024-10-07,275.41,2024-10-07,0,0.00,0,0.00,
8154,968,2024-10-07,932.33,2024-10-07,0,0.00,0,0.00,
8154,967,2024-10-07,15.76,2024-10-07,0,0.00,0,0.00,
8154,966,2024-10-07,2083.23,2024-10-02,5,404.32,0,0.00,SQ *T.M. BEAUTY:202.50; NSLC #2302 AMHERST:80.16; AMHERST SUPERSTORE #31:58.11; DOLLARAMA # 209:33.55; PROXI WEST AMHERST:30.00
8154,975,2024-10-02,56.33,2024-10-01,2,616.00,0,0.00,BELL ALIANT ONLINE:476.30; ROGERS ******8651 888-764-3771:139.70
8154,986,2024-10-01,91.98,2024-10-01,0,0.00,0,0.00,
8154,985,2024-10-01,130.54,2024-10-01,0,0.00,0,0.00,
8154,982,2024-10-01,355.22,2024-10-01,0,0.00,0,0.00,
8154,996,2024-09-27,1114.45,2024-09-27,0,0.00,0,0.00,
8154,995,2024-09-27,1781.97,2024-09-23,0,0.00,0,0.00,
8154,1009,2024-09-23,334.42,2024-09-18,0,0.00,0,0.00,
8154,1024,2024-09-18,63.03,2024-09-18,0,0.00,0,0.00,
8154,1022,2024-09-18,159.35,2024-09-18,0,0.00,0,0.00,
8154,1021,2024-09-18,248.44,2024-09-18,0,0.00,0,0.00,
8154,1020,2024-09-18,321.65,2024-09-09,8,452.18,0,0.00,DOLLARAMA # 209:321.65; CHRISTMAS DISCOUNTERS AMHERST:114.37; LAWTONS #2562 AMHERST:13.79; WAL-MART #5789 AMHERST:2.37
8154,1040,2024-09-09,38.45,2024-09-09,0,0.00,0,0.00,
8154,1039,2024-09-09,14.42,2024-09-05,0,0.00,0,0.00,
8154,1049,2024-09-05,336.40,2024-09-03,2,62.83,0,0.00,SHELL 4551 AMHERST:34.82; MCDONALD'S #5841 Q04:28.01
8154,1056,2024-09-03,1390.42,2024-09-03,0,0.00,0,0.00,
8154,1053,2024-09-03,130.54,2024-08-19,10,4936.16,0,0.00,JJ CANDY 418-5635821:4377.50; WAL-MART #5789 AMHERST:224.77; WE LIKE WORK:195.97; B WOOS KITCHEN:42.41; CIRCLE K /:36.69
8154,1068,2024-08-19,1080.39,2024-05-27,57,4890.42,0,0.00,ALLEGRA MARKETING PRIN:1449.00; WAL-MART #5789 AMHERST:851.26; COSTCO WHOLESALE W1345:598.82; BELL ALIANT ONLINE:312.82; HIGHLAND MARKET AMHERST:176.33
0318,1067,2024-08-19,237.89,2024-08-19,0,0.00,0,0.00,
0318,1066,2024-08-19,101.78,2024-08-08,6,556.80,0,0.00,NOVA SCOTIA PWR/EZ-PAY:209.78; AMHERST HOME HARDWARE:196.83; BELL ALIANT OBM:109.50; OPENAI *CHATGPT SUBSCR:32.43; HARRISON'S HOME HARDWARE:4.59
0318,1096,2024-05-28,288.65,2024-05-27,1,856.57,0,0.00,SP SPROOS WHISTLER:856.57
8154,1098,2024-05-27,80.86,2024-05-09,9,431.63,0,0.00,WAL-MART #5789 AMHERST:176.76; KENT AMHERST AMHERST:80.43; THE OLD WAREHOUSE:59.34; B WOOS KITCHEN:41.40; DOLLARAMA # 209:38.74
0318,1103,2024-05-21,65.14,2024-05-21,0,0.00,0,0.00,
0318,1102,2024-05-21,87.27,2024-05-07,7,1811.80,2,91.19,"PURITY LIFE HEALTH:1370.59; BELL ALIANT REP:311.79; AMHERST PHARMA SAVE:71.11; CHATGPT SUBSCRIPTION HTTPSOPENAI.C,:32.39; CANADIAN TIRE 33:20.08"
8154,1111,2024-05-09,858.30,2024-05-07,0,0.00,0,0.00,
8154,1117,2024-05-07,62.84,2024-05-07,0,0.00,0,0.00,
8154,1116,2024-05-07,31.94,2024-04-12,17,4008.41,0,0.00,KENT AMHERST AMHERST:3117.90; BELL ALIANT ONLINE:312.82; WAL-MART #5789 AMHERST:222.56; NSLC #2302 AMHERST:104.94; DOLLARAMA # 209:69.89
0318,1124,2024-04-30,128.18,2024-04-23,9,685.40,1,222.59,NOVA SCOTIA PWR/EZ-PAY:277.06; NOVA SCOTIA ONLINE:222.59; REGISTRY OF JOINT:168.25; GOOGLE *WAVE FINANCIAL:12.65; KUBRA/EZ-PAY 905-624-2220:4.85
0318,1127,2024-04-23,222.59,2024-04-22,2,54.23,1,41.37,CANADIAN TIRE 33:41.37; SHOPIFY INC/227113144 OTTAWA:12.86
0318,1147,2024-04-16,231.21,2024-04-16,0,0.00,0,0.00,
0318,1144,2024-04-16,136.11,2024-03-25,9,2802.58,4,312.55,TITAN DISTRIBUTION CONCORD:2174.95; AMHERST SUPERSTORE #31:383.81; CHRISTMAS DISCOUNTERS AMHERST:94.92; AMHERST PHARMA SAVE:35.15; FEDEX YQMA DIEPPE:35.01
8154,1158,2024-04-12,168.62,2024-04-12,0,0.00,0,0.00,
8154,1156,2024-04-12,14.46,2024-04-12,0,0.00,0,0.00,
8154,1169,2024-04-08,19.95,2024-04-08,0,0.00,0,0.00,
8154,1168,2024-04-08,107.35,2024-04-08,0,0.00,0,0.00,
8154,1167,2024-04-08,203.78,2024-04-04,0,0.00,0,0.00,
8154,1175,2024-04-04,1251.73,2024-04-04,0,0.00,0,0.00,
8154,1174,2024-04-04,811.89,2024-03-25,7,705.94,0,0.00,"CERTIFIED COLLECTIBLES SARASOTA,:417.32; WAL-MART #5789 AMHERST:125.09; DOLLARAMA # 209:102.77; CIRCLE K /:43.51; FIVEELEVEN WEST SUMMERSIDE:17.25"
8154,1219,2024-03-14,1612.59,2024-03-14,0,0.00,0,0.00,
8154,1217,2024-03-14,45.95,2024-03-14,0,0.00,0,0.00,
8154,1216,2024-03-14,632.49,2024-03-11,0,0.00,0,0.00,
8154,1236,2024-03-11,143.62,2024-03-06,3,1021.89,1,807.55,DOLLARAMA # 209:807.55; WAL-MART #5789 AMHERST:143.62; THE OLD WAREHOUSE:70.72
8154,1254,2024-03-06,1238.76,2024-02-27,10,2534.73,1,1665.98,COSTCO WHOLESALE W1345:1680.87; CANADIAN TIRE 33:521.83; PAYZANT HM HWRE:115.39; WINNERS 259 MONCTON:66.20; COSTCO GAS W1345:65.21
8154,1272,2024-02-26,98.97,2024-02-22,2,91.49,0,0.00,WAL-MART #5789 AMHERST:91.49
8154,1292,2024-02-22,2249.31,2024-02-12,6,548.02,0,0.00,ATLANTIC HOCKEY GRO:300.00; AMHERST PHARMA SAVE:103.17; NSLC #2302 AMHERST:97.51; AMHERST SUPERSTORE #31:42.18; HIGHLAND MARKET AMHERST:5.16
8154,1318,2024-02-12,249.71,2024-02-01,5,2858.26,2,1913.94,COSTCO WHOLESALE W1345:1873.93; IN *ALCAMI ELEMENTS:828.00; WAL-MART #5789 AMHERST:61.13; KFC 1048 AMHERST:55.19; PROXI WEST AMHERST:40.01
0318,1337,2024-02-01,434.74,2024-02-01,0,0.00,0,0.00,
8154,1334,2024-02-01,40.01,2024-01-30,0,0.00,0,0.00,
8154,1341,2024-01-30,1521.97,2024-01-29,0,0.00,0,0.00,
8154,1347,2024-01-29,1489.80,2024-01-17,8,1801.07,0,0.00,COSTCO WHOLESALE W1345:1223.08; WAL-MART #5789 AMHERST:258.65; TEMPLE OF EDEN:248.40; HIGHLAND MARKET AMHERST:52.40; TIM HORTONS #5540:18.54
0318,1370,2024-01-22,104.03,2024-01-22,0,0.00,0,0.00,
8154,1379,2024-01-17,39.99,2024-01-17,0,0.00,0,0.00,
8154,1378,2024-01-17,84.97,2024-01-09,5,678.89,0,0.00,BELL ALIANT ONLINE:462.09; AMHERST SUPERSTORE #31:168.85; SUPER 8 AMHERST:24.00; WAL-MART #5789 AMHERST:23.95
0318,1388,2024-01-10,192.37,2024-01-10,0,0.00,0,0.00,
8154,1395,2024-01-09,22.99,2024-01-09,0,0.00,0,0.00,
8154,1394,2024-01-09,34.49,2024-01-08,0,0.00,0,0.00,
0318,1393,2024-01-09,39.87,2024-01-08,0,0.00,0,0.00,
8154,1403,2024-01-08,20.10,2024-01-08,0,0.00,0,0.00,
8154,1401,2024-01-08,74.14,2024-01-08,0,0.00,0,0.00,
8154,1399,2024-01-08,1996.38,2024-01-04,1,69.21,0,0.00,PAYPAL *ALIPAYCANAD 4029357733:69.21
0318,1416,2024-01-04,27.53,2024-01-04,0,0.00,0,0.00,
0318,1415,2024-01-04,48.87,2024-01-04,0,0.00,0,0.00,
0318,1414,2024-01-04,43.42,2024-01-04,0,0.00,0,0.00,
8154,1413,2024-01-04,35.60,2023-12-19,3,222.31,0,0.00,WAL-MART #5789 AMHERST:149.24; MTY GROUP /:37.93; MCDONALD'S #5841 Q04:35.14
0318,1412,2024-01-04,102.54,2024-01-04,0,0.00,0,0.00,
0318,1411,2024-01-04,33.66,2024-01-04,0,0.00,0,0.00,
0318,1426,2023-12-28,265.37,2023-12-28,0,0.00,0,0.00,
0318,1424,2023-12-28,41.81,2023-12-28,0,0.00,0,0.00,
0318,1422,2023-12-28,28.68,2023-12-28,0,0.00,0,0.00,
