GIFI_Code,Description,Amount
1001,Cash,26292
1121,Inventory of goods for sale,2847
1484,Prepaid expenses,649
1740,"Machinery, equipment, furniture and fixtures",2298
1741,Accum amort - machinery/equip/furn/fixtures,-508
2599,Total assets,31578
2781,Due to individual shareholder(s),3639
2680,Taxes payable,6757
2620,Amounts payable and accrued liabilities,2687
3499,Total liabilities,13083
3500,Common shares,100
3600,Retained earnings / deficit,18395
3620,Total shareholder equity,18495
3640,Total liabilities and shareholder equity,31578
