GIFI_Code,Description,Amount
1001,Cash,12472
1121,Inventory of goods for sale,10015
1301,Due from individual shareholder(s),2041
1484,Prepaid expenses,1490
1740,"Machinery, equipment, furniture and fixtures",3518
1741,Accum amort - machinery/equip/furn/fixtures,-1805
2599,Total assets,27731
2781,Due to individual shareholder(s),5011
2680,Taxes payable,2653
2620,Amounts payable and accrued liabilities,7405
3499,Total liabilities,15069
3500,Common shares,100
3600,Retained earnings / deficit,12562
3620,Total shareholder equity,12662
3640,Total liabilities and shareholder equity,27731
