GIFI_Code,Description,Amount
1001,Cash,12472
1121,Inventory of goods for sale,10015
1301,Due from individual shareholder(s),2041
1484,Prepaid expenses,1490
1740,"Machinery, equipment, furniture and fixtures",3518
1741,Accum amort - machinery/equip/furn/fixtures,-1805
2599,Total assets,27731
2781,Due to individual shareholder(s),5072
2680,Taxes payable,2653
2620,Amounts payable and accrued liabilities,7405
3499,Total liabilities,15130
3500,Common shares,100
3600,Retained earnings / deficit,12501
3620,Total shareholder equity,12601
3640,Total liabilities and shareholder equity,27731
8000,Trade sales of goods and services,230907
8299,Total revenue,230907
8518,Cost of sales,110174
8519,Gross profit / loss,120733
8520,Advertising and promotion,798
8523,Meals and entertainment,408
8622,Employers portion of employee benefits,3610
8670,Amortization of tangible assets,1297
8690,Insurance,1951
8710,Interest and bank charges,3371
8810,Office expenses,2939
8813,Data processing,2915
8860,Professional fees,353
8911,Real estate rental,7137
8960,Repairs and maintenance,585
9060,Salaries and wages,54899
9130,Supplies,4620
9131,Small tools,479
9225,Telephone and telecommunications,465
9270,Other expenses,293
9275,"Delivery, freight and express",96
9281,Vehicle expenses,3510
9367,Total operating expenses,89726
9368,Total expenses,199900
9999,Net income / loss after taxes/extraord item,31007
3660,Retained earnings / deficit - start,18395
3680,Net income / loss,31007
3700,Dividends declared,36900
3740,Other items affecting retained earnings (rounding),-1
3849,Retained earnings / deficit - end,12501
